,symbol,date,openPrice,closePrice,highPrice,lowPrice,adjClosePrice,previousClose,changePercent
0,AAPL,2018-01-03,172.53,172.23,174.55,171.96,170.2787,172.26,-0.00017415534656917142
1,AAPL,2018-01-04,172.54,173.03,173.47,172.08,171.0696,172.23,0.004644951518318674
2,AAPL,2018-01-05,173.44,175.0,175.37,173.05,173.0173,173.03,0.011385308905970115
3,AAPL,2018-01-08,174.35,174.35,175.61,173.93,172.3746,175.0,-0.003714285714285781
4,AAPL,2018-01-09,174.55,174.33,175.06,173.41,172.3549,174.35,-0.00011471178663602366
5,AAPL,2018-01-10,173.16,174.29,174.3,173.0,172.3153,174.33,-0.00022944989387951864
6,AAPL,2018-01-11,174.59,175.28,175.4886,174.49,173.2941,174.29,0.005680188192093594
7,AAPL,2018-01-12,176.18,177.09,177.36,175.65,175.0836,175.28,0.010326335006846099
8,AAPL,2018-01-16,177.9,176.19,179.39,176.14,174.1938,177.09,-0.005082161612739333
9,AAPL,2018-01-17,176.15,179.1,179.25,175.07,177.0708,176.19,0.0165162608547591
10,AAPL,2018-01-18,179.37,179.26,180.1,178.25,177.229,179.1,0.0008933556672250376
11,AAPL,2018-01-19,178.61,178.46,179.58,177.41,176.4381,179.26,-0.004462791476068206
12,AAPL,2018-01-22,177.3,177.0,177.78,176.6016,174.9946,178.46,-0.008181105009525957
13,AAPL,2018-01-23,177.3,177.04,179.44,176.82,175.0342,177.0,0.00022598870056489417
14,AAPL,2018-01-24,177.25,174.22,177.3,173.2,172.2461,177.04,-0.015928603705377298
15,AAPL,2018-01-25,174.505,171.11,174.95,170.53,169.1713,174.22,-0.017850992997359594
16,AAPL,2018-01-26,172.0,171.51,172.0,170.06,169.5668,171.11,0.0023376775173864495
17,AAPL,2018-01-29,170.16,167.96,170.16,167.07,166.057,171.51,-0.020698501545099335
18,AAPL,2018-01-30,165.525,166.97,167.37,164.7,165.0783,167.96,-0.005894260538223395
19,AAPL,2018-01-31,166.87,167.43,168.4417,166.5,165.533,166.97,0.0027549859256155163
20,AAPL,2018-02-01,167.165,167.78,168.62,166.76,165.8791,167.43,0.0020904258496088346
21,AAPL,2018-02-02,166.0,160.5,166.8,160.1,158.6816,167.78,-0.04339015377279776
22,AAPL,2018-02-05,159.1,156.49,163.88,156.0,154.717,160.5,-0.02498442367601239
23,AAPL,2018-02-06,154.83,163.03,163.72,154.0,161.1829,156.49,0.04179180778324487
24,AAPL,2018-02-07,163.085,159.54,163.4,159.0685,157.7324,163.03,-0.021407102987180293
25,AAPL,2018-02-08,160.29,155.15,161.0,155.03,153.3922,159.54,-0.0275166102544816
26,AAPL,2018-02-09,157.07,156.41,157.89,150.24,155.2608,155.15,0.0081211730583306
27,AAPL,2018-02-12,158.5,162.71,163.89,157.51,161.5145,156.41,0.04027875455533536
28,AAPL,2018-02-13,161.95,164.34,164.75,161.65,163.1325,162.71,0.010017823120889835
29,AAPL,2018-02-14,163.045,167.37,167.54,162.88,166.1402,164.34,0.018437385907265513
30,AAPL,2018-02-15,169.79,172.99,173.09,169.0,171.7189,167.37,0.03357829957579028
31,AAPL,2018-02-16,172.36,172.43,174.82,171.77,171.163,172.99,-0.00323718133996187
32,AAPL,2018-02-20,172.05,171.85,174.26,171.42,170.5873,172.43,-0.003363683813721541
33,AAPL,2018-02-21,172.83,171.07,174.12,171.01,169.813,171.85,-0.004538842013383726
34,AAPL,2018-02-22,171.8,172.5,173.95,171.71,171.2325,171.07,0.008359151224644812
35,AAPL,2018-02-23,173.67,175.5,175.65,173.54,174.2105,172.5,0.017391304347825987
36,AAPL,2018-02-26,176.35,178.97,179.39,176.21,177.655,175.5,0.01977207977207973
37,AAPL,2018-02-27,179.1,178.39,180.48,178.16,177.0793,178.97,-0.0032407666089289133
38,AAPL,2018-02-28,179.26,178.12,180.615,178.05,176.8112,178.39,-0.0015135377543583628
39,AAPL,2018-03-01,178.54,175.0,179.775,172.66,173.7142,178.12,-0.017516281158769353
40,AAPL,2018-03-02,172.8,176.21,176.3,172.45,174.9153,175.0,0.006914285714285651
41,AAPL,2018-03-05,175.21,176.82,177.74,174.52,175.5208,176.21,0.003461778559673112
42,AAPL,2018-03-06,177.91,176.67,178.25,176.13,175.3719,176.82,-0.0008483203257549921
43,AAPL,2018-03-07,174.94,175.03,175.85,174.27,173.7439,176.67,-0.009282843719929712
44,AAPL,2018-03-08,175.48,176.94,177.12,175.07,175.6399,175.03,0.010912415014568966
45,AAPL,2018-03-09,177.96,179.98,180.0,177.39,178.6576,176.94,0.017180965298971396
46,AAPL,2018-03-12,180.29,181.72,182.39,180.21,180.3848,179.98,0.009667740860095586
47,AAPL,2018-03-13,182.59,179.97,183.5,179.24,178.6476,181.72,-0.009630200308166414
48,AAPL,2018-03-14,180.32,178.44,180.52,177.81,177.1289,179.97,-0.008501416902817138
49,AAPL,2018-03-15,178.5,178.65,180.24,178.0701,177.3373,178.44,0.0011768661735036545
50,AAPL,2018-03-16,178.65,178.02,179.12,177.62,176.712,178.65,-0.0035264483627204246
51,AAPL,2018-03-19,177.32,175.3,177.47,173.66,174.012,178.02,-0.015279182114369183
52,AAPL,2018-03-20,175.24,175.24,176.8,174.94,173.9524,175.3,-0.0003422703936110105
53,AAPL,2018-03-21,175.04,171.27,175.09,171.26,170.0116,175.24,-0.022654645058205913
54,AAPL,2018-03-22,170.0,168.85,172.68,168.6,167.6094,171.27,-0.014129736673089366
55,AAPL,2018-03-23,168.39,164.94,169.92,164.94,163.7281,168.85,-0.02315664791234817
56,AAPL,2018-03-26,168.07,172.77,173.1,166.44,171.5006,164.94,0.047471807930156595
57,AAPL,2018-03-27,173.68,168.34,175.15,166.92,167.1031,172.77,-0.02564102564102566
58,AAPL,2018-03-28,167.25,166.48,170.02,165.19,165.2568,168.34,-0.01104906736366884
59,AAPL,2018-03-29,167.805,167.78,171.75,166.9,166.5472,166.48,0.0078087457952908945
60,AAPL,2018-04-02,167.88,166.68,168.94,164.47,165.4553,167.78,-0.006556204553582079
61,AAPL,2018-04-03,167.64,168.39,168.7455,164.88,167.1527,166.68,0.010259179265658558
62,AAPL,2018-04-04,164.88,171.61,172.01,164.77,170.3491,168.39,0.019122275669576805
63,AAPL,2018-04-05,172.58,172.8,174.2304,172.08,171.5303,171.61,0.006934327836373155
64,AAPL,2018-04-06,170.97,168.38,172.48,168.2,167.1428,172.8,-0.025578703703703742
65,AAPL,2018-04-09,169.88,170.05,173.09,169.845,168.8005,168.38,0.0099180425228651
66,AAPL,2018-04-10,173.0,173.25,174.0,171.53,171.977,170.05,0.018817994707438945
67,AAPL,2018-04-11,172.23,172.44,173.9232,171.7,171.173,173.25,-0.004675324675324721
68,AAPL,2018-04-12,173.41,174.14,175.0,173.04,172.8605,172.44,0.00985850150777079
69,AAPL,2018-04-13,174.78,174.73,175.84,173.85,173.4461,174.14,0.0033880785574824657
70,AAPL,2018-04-16,175.0301,175.82,176.19,174.8301,174.5281,174.73,0.0062381960739426034
71,AAPL,2018-04-17,176.49,178.24,178.9365,176.41,176.9304,175.82,0.01376407689682635
72,AAPL,2018-04-18,177.81,177.84,178.82,176.88,176.5333,178.24,-0.002244165170556589
73,AAPL,2018-04-19,174.95,172.8,175.39,172.66,171.5303,177.84,-0.028340080971659853
74,AAPL,2018-04-20,170.595,165.72,171.2184,165.43,164.5024,172.8,-0.0409722222222223
75,AAPL,2018-04-23,166.8348,165.24,166.92,164.09,164.0259,165.72,-0.002896451846488013
76,AAPL,2018-04-24,165.67,162.94,166.33,161.2201,161.7428,165.24,-0.013919147906076068
