,symbol,date,openPrice,closePrice,highPrice,lowPrice,adjClosePrice,previousClose,changePercent
848,BAC,2018-01-03,29.9,29.8,29.94,29.69,29.4216,29.9,-0.0033444816053510573
849,BAC,2018-01-04,29.97,30.19,30.44,29.88,29.8067,29.8,0.013087248322147582
850,BAC,2018-01-05,30.37,30.33,30.42,30.05,29.9449,30.19,0.004637297118250894
851,BAC,2018-01-08,30.23,30.12,30.27,30.05,29.7375,30.33,-0.006923837784371778
852,BAC,2018-01-09,30.2,30.27,30.54,30.13,29.8856,30.12,0.004980079681274896
853,BAC,2018-01-10,30.37,30.55,30.73,30.31,30.1621,30.27,0.009250082590023245
854,BAC,2018-01-11,30.66,30.66,30.69,30.45,30.2707,30.55,0.0036006546644844484
855,BAC,2018-01-12,30.88,31.19,31.2,30.77,30.794,30.66,0.01728636660143512
856,BAC,2018-01-16,31.74,31.24,31.79,31.03,30.8433,31.19,0.001603077909586359
857,BAC,2018-01-17,31.0,31.18,31.29,30.34,30.7841,31.24,-0.001920614596670922
858,BAC,2018-01-18,31.33,31.48,31.71,31.21,31.0803,31.18,0.00962155227710082
859,BAC,2018-01-19,31.58,31.72,31.74,31.46,31.3172,31.48,0.007623888182973326
860,BAC,2018-01-22,31.67,31.94,31.94,31.58,31.5344,31.72,0.006935687263556201
861,BAC,2018-01-23,31.86,31.92,32.13,31.785,31.5147,31.94,-0.0006261740763932044
862,BAC,2018-01-24,32.01,32.09,32.21,31.82,31.6825,31.92,0.005325814536340845
863,BAC,2018-01-25,32.24,32.09,32.25,31.93,31.6825,32.09,0.0
864,BAC,2018-01-26,32.11,32.2,32.2,31.95,31.7911,32.09,0.003427859146151402
865,BAC,2018-01-29,32.25,32.28,32.45,32.18,31.8701,32.2,0.00248447204968949
866,BAC,2018-01-30,31.95,31.88,32.2,31.85,31.4752,32.28,-0.01239157372986377
867,BAC,2018-01-31,32.05,32.0,32.29,31.95,31.5937,31.88,0.0037641154328733606
868,BAC,2018-02-01,32.0,32.5,32.5,31.96,32.0873,32.0,0.015625
869,BAC,2018-02-02,32.44,31.95,32.67,31.86,31.5443,32.5,-0.01692307692307693
870,BAC,2018-02-05,31.12,30.26,31.98,29.15,29.8758,31.95,-0.0528951486697965
871,BAC,2018-02-06,29.41,31.2,31.29,29.3,30.8038,30.26,0.03106411103767348
872,BAC,2018-02-07,31.12,31.25,31.74,30.86,30.8532,31.2,0.0016025641025640969
873,BAC,2018-02-08,31.31,29.74,31.38,29.73,29.3624,31.25,-0.04832000000000003
874,BAC,2018-02-09,30.17,30.33,30.61,29.13,29.9449,29.74,0.01983860121049097
875,BAC,2018-02-12,30.62,31.12,31.44,30.54,30.7249,30.33,0.026046818331684873
876,BAC,2018-02-13,31.04,31.18,31.4,30.76,30.7841,31.12,0.001928020565552746
877,BAC,2018-02-14,31.17,32.0,32.03,31.055,31.5937,31.18,0.026298909557408656
878,BAC,2018-02-15,32.39,32.21,32.47,31.87,31.801,32.0,0.006562500000000027
879,BAC,2018-02-16,32.0,31.97,32.26,31.92,31.5641,32.21,-0.007451102142191912
880,BAC,2018-02-20,31.96,31.93,32.16,31.75,31.5246,31.97,-0.0012511729746637057
881,BAC,2018-02-21,31.8,31.87,32.365,31.77,31.4653,31.93,-0.0018791105543375375
882,BAC,2018-02-22,31.99,31.69,32.14,31.59,31.2876,31.87,-0.005647944775651115
883,BAC,2018-02-23,31.8,32.03,32.06,31.76,31.6233,31.69,0.010728936573051406
884,BAC,2018-02-26,32.17,32.42,32.44,32.05,32.0083,32.03,0.012176084920387131
885,BAC,2018-02-27,32.32,32.33,32.85,32.32,31.9195,32.42,-0.002776064157927305
886,BAC,2018-02-28,32.49,32.1,32.77,32.09,31.6924,32.33,-0.007114135477884198
887,BAC,2018-03-01,32.07,31.48,32.345,31.36,31.1988,32.1,-0.019314641744548333
888,BAC,2018-03-02,31.12,31.63,31.69,30.63,31.3474,31.48,0.00476493011435819
889,BAC,2018-03-05,31.35,32.13,32.355,31.165,31.8429,31.63,0.015807777426493974
890,BAC,2018-03-06,32.3,32.11,32.32,31.95,31.8231,32.13,-0.0006224712107065766
891,BAC,2018-03-07,31.7,32.18,32.23,31.58,31.8925,32.11,0.0021800062285892707
892,BAC,2018-03-08,32.19,32.2,32.27,31.81,31.9123,32.18,0.0006215040397763438
893,BAC,2018-03-09,32.47,32.72,32.73,32.4,32.4277,32.2,0.01614906832298124
894,BAC,2018-03-12,32.69,32.84,33.05,32.64,32.5466,32.72,0.0036674816625918982
895,BAC,2018-03-13,32.97,32.36,32.99,32.3,32.0709,32.84,-0.014616321559074441
896,BAC,2018-03-14,32.55,32.14,32.55,31.93,31.8529,32.36,-0.0067985166872681635
897,BAC,2018-03-15,32.29,32.1,32.34,31.93,31.8132,32.14,-0.001244555071561848
898,BAC,2018-03-16,32.11,32.17,32.57,32.08,31.8826,32.1,0.002180685358255552
899,BAC,2018-03-19,32.13,31.98,32.22,31.68,31.6943,32.17,-0.005906123717749456
900,BAC,2018-03-20,32.06,31.98,32.2,31.88,31.6943,31.98,0.0
901,BAC,2018-03-21,32.0,31.87,32.45,31.68,31.5853,31.98,-0.0034396497811132187
902,BAC,2018-03-22,31.44,30.55,31.49,30.42,30.2771,31.87,-0.041418261688107916
903,BAC,2018-03-23,30.69,29.17,30.82,29.05,28.9094,30.55,-0.045171849427168564
904,BAC,2018-03-26,29.89,30.44,30.555,29.65,30.168,29.17,0.04353788138498449
905,BAC,2018-03-27,30.65,29.52,30.67,29.21,29.2563,30.44,-0.030223390275952777
906,BAC,2018-03-28,29.79,29.39,29.96,29.01,29.1274,29.52,-0.004403794037940334
907,BAC,2018-03-29,29.57,29.99,30.14,29.31,29.7221,29.39,0.020415107179312608
908,BAC,2018-04-02,29.8,29.31,30.055,28.75,29.0481,29.99,-0.02267422474158054
909,BAC,2018-04-03,29.54,29.59,29.65,29.1001,29.3256,29.31,0.00955305356533609
910,BAC,2018-04-04,29.0,29.88,29.97,28.95,29.6131,29.59,0.009800608313619508
911,BAC,2018-04-05,30.18,30.32,30.55,30.115,30.0491,29.88,0.014725568942436373
912,BAC,2018-04-06,30.01,29.63,30.29,29.37,29.3653,30.32,-0.022757255936675547
913,BAC,2018-04-09,29.82,29.87,30.625,29.76,29.6031,29.63,0.00809989875126571
914,BAC,2018-04-10,30.48,30.48,30.58,30.23,30.2077,29.87,0.020421827920990898
915,BAC,2018-04-11,30.15,29.9,30.24,29.89,29.6329,30.48,-0.01902887139107623
916,BAC,2018-04-12,30.22,30.65,30.8,30.165,30.3762,29.9,0.025083612040133874
917,BAC,2018-04-13,31.13,29.8,31.17,29.56,29.5338,30.65,-0.027732463295269127
918,BAC,2018-04-16,30.08,29.93,30.37,29.47,29.6626,29.8,0.004362416107382527
919,BAC,2018-04-17,30.17,30.04,30.37,29.88,29.7716,29.93,0.0036752422318744316
920,BAC,2018-04-18,30.03,29.53,30.22,29.5,29.2662,30.04,-0.01697736351531287
921,BAC,2018-04-19,29.55,30.18,30.24,29.54,29.9104,29.53,0.022011513714866204
922,BAC,2018-04-20,30.26,30.26,30.53,30.13,29.9897,30.18,0.002650762094102088
923,BAC,2018-04-23,30.27,30.32,30.4,30.12,30.0491,30.26,0.00198281559814939
924,BAC,2018-04-24,30.46,30.19,30.86,30.0,29.9203,30.32,-0.004287598944590965
925,BAC,2018-04-25,30.09,30.14,30.34,29.8,29.8707,30.19,-0.001656177542232573
926,BAC,2018-04-26,30.04,30.07,30.28,29.99,29.8014,30.14,-0.002322495023225013
927,BAC,2018-04-27,29.99,30.15,30.21,29.97,29.8806,30.07,0.0026604589291652214
928,BAC,2018-04-30,30.27,29.92,30.43,29.92,29.6527,30.15,-0.007628524046434437
929,BAC,2018-05-01,29.92,29.95,29.96,29.62,29.6824,29.92,0.00100267379679142
930,BAC,2018-05-02,29.95,29.58,30.07,29.56,29.3157,29.95,-0.012353923205342232
931,BAC,2018-05-03,29.51,29.2,29.52,28.43,28.9391,29.58,-0.01284651791751179
932,BAC,2018-05-04,28.99,29.3,29.42,28.82,29.0382,29.2,0.0034246575342467
933,BAC,2018-05-07,29.44,29.64,29.7879,29.33,29.3752,29.3,0.011604095563140016
934,BAC,2018-05-08,29.77,29.93,30.125,29.665,29.6626,29.64,0.009784075573549211
935,BAC,2018-05-09,30.1,30.72,30.79,30.08,30.4455,29.93,0.026394921483461342
936,BAC,2018-05-10,30.61,30.89,31.07,30.42,30.614,30.72,0.005533854166666741
937,BAC,2018-05-11,30.91,30.92,31.03,30.81,30.6438,30.89,0.0009711880867595557
938,BAC,2018-05-14,31.04,31.12,31.23,31.03,30.842,30.92,0.0064683053040104355
939,BAC,2018-05-15,30.92,31.22,31.36,30.85,30.9411,31.12,0.0032133676092545027
940,BAC,2018-05-16,31.18,31.06,31.25,31.02,30.7825,31.22,-0.005124919923126248
941,BAC,2018-05-17,31.04,30.81,31.08,30.67,30.5347,31.06,-0.008048937540244716
942,BAC,2018-05-18,30.77,30.26,30.79,30.23,29.9897,30.81,-0.01785134696527091
943,BAC,2018-05-21,30.52,30.55,30.68,30.48,30.2771,30.26,0.00958360872438857
944,BAC,2018-05-22,30.6,30.89,31.14,30.54,30.614,30.55,0.011129296235679265
945,BAC,2018-05-23,30.71,30.44,30.76,30.0815,30.168,30.89,-0.014567821301392003
946,BAC,2018-05-24,30.4,30.21,30.41,29.83,29.9401,30.44,-0.007555847568988194
947,BAC,2018-05-25,30.01,30.16,30.19,29.88,29.8905,30.21,-0.0016550810989738318
948,BAC,2018-05-29,29.76,28.96,29.8,28.7,28.7013,30.16,-0.039787798408488007
949,BAC,2018-05-30,29.29,29.49,29.6,29.16,29.2265,28.96,0.01830110497237558
950,BAC,2018-05-31,29.2,29.04,29.26,28.825,28.8995,29.49,-0.015259409969481164
951,BAC,2018-06-01,29.49,29.4,29.66,29.31,29.2577,29.04,0.012396694214876103
952,BAC,2018-06-04,29.55,29.4,29.59,29.33,29.2577,29.4,0.0
953,BAC,2018-06-05,29.31,29.12,29.34,29.06,28.9791,29.4,-0.00952380952380949
954,BAC,2018-06-06,29.29,30.04,30.05,29.28,29.8946,29.12,0.03159340659340648
955,BAC,2018-06-07,30.2,30.09,30.31,29.89,29.9444,30.04,0.001664447403462166
956,BAC,2018-06-08,30.01,30.01,30.05,29.81,29.8648,30.09,-0.002658690594881996
957,BAC,2018-06-11,30.13,30.06,30.41,30.06,29.9145,30.01,0.001666111296234396
958,BAC,2018-06-12,30.17,29.9,30.27,29.75,29.7553,30.06,-0.005322687957418526
959,BAC,2018-06-13,29.98,29.84,30.355,29.695,29.6956,29.9,-0.0020066889632106566
960,BAC,2018-06-14,30.04,29.5,30.05,29.38,29.3573,29.84,-0.011394101876675555
961,BAC,2018-06-15,29.25,29.28,29.41,28.865,29.1383,29.5,-0.007457627118644061
962,BAC,2018-06-18,28.94,29.4,29.5,28.81,29.2577,29.28,0.004098360655737654
963,BAC,2018-06-19,29.04,29.26,29.37,28.95,29.1184,29.4,-0.004761904761904634
964,BAC,2018-06-20,29.42,29.24,29.5,29.18,29.0985,29.26,-0.0006835269993166193
965,BAC,2018-06-21,29.21,29.29,29.45,29.0,29.1483,29.24,0.0017099863201095467
966,BAC,2018-06-22,29.46,28.99,29.52,28.99,28.8497,29.29,-0.010242403550699941
967,BAC,2018-06-25,28.86,28.48,28.91,28.26,28.3422,28.99,-0.01759227319765433
968,BAC,2018-06-26,28.52,28.54,28.67,28.01,28.4019,28.48,0.002106741573033588
969,BAC,2018-06-27,28.51,28.24,28.845,28.24,28.1034,28.54,-0.010511562718990897
970,BAC,2018-06-28,28.4,28.67,28.84,28.3,28.5313,28.24,0.015226628895184335
971,BAC,2018-06-29,29.09,28.19,29.17,28.18,28.0536,28.67,-0.016742239274503024
972,BAC,2018-07-02,28.08,28.28,28.28,27.83,28.1432,28.19,0.0031926214969848488
973,BAC,2018-07-03,28.33,27.78,28.43,27.74,27.6456,28.28,-0.01768033946251768
974,BAC,2018-07-05,27.95,27.92,28.079,27.81,27.7849,27.78,0.005039596832253412
975,BAC,2018-07-06,27.81,28.03,28.15,27.63,27.8944,27.92,0.003939828080229191
976,BAC,2018-07-09,28.23,29.05,29.09,28.22,28.9094,28.03,0.03638958259008196
977,BAC,2018-07-10,29.22,28.83,29.33,28.75,28.6905,29.05,-0.0075731497418245475
978,BAC,2018-07-11,28.67,28.68,28.91,28.62,28.5412,28.83,-0.005202913631633721
979,BAC,2018-07-12,28.9,28.77,28.97,28.66,28.6308,28.68,0.003138075313807498
980,BAC,2018-07-13,28.62,28.55,28.69,28.2223,28.4119,28.77,-0.00764685436218282
981,BAC,2018-07-16,28.78,29.78,29.85,28.73,29.6359,28.55,0.043082311733800394
982,BAC,2018-07-17,29.89,30.01,30.2,29.58,29.8648,29.78,0.007723304231027628
983,BAC,2018-07-18,29.92,30.13,30.29,29.84,29.9842,30.01,0.003998667110962861
984,BAC,2018-07-19,29.93,29.67,30.015,29.64,29.5264,30.13,-0.015267175572518998
985,BAC,2018-07-20,29.62,30.13,30.16,29.46,29.9842,29.67,0.015503875968992054
986,BAC,2018-07-23,30.14,30.75,30.85,30.13,30.6012,30.13,0.020577497510786635
987,BAC,2018-07-24,30.85,30.83,31.11,30.65,30.6808,30.75,0.002601626016260017
988,BAC,2018-07-25,30.7,31.07,31.11,30.67,30.9197,30.83,0.0077846253649043184
989,BAC,2018-07-26,31.19,30.94,31.21,30.89,30.7903,31.07,-0.004184100418409997
990,BAC,2018-07-27,30.99,31.06,31.14,30.8,30.9097,30.94,0.003878474466709747
