,symbol,date,openPrice,highPrice,lowPrice,closePrice,volume,previousClose,changePercent
0,CHU,2010-01-04,13.23,13.34,13.21,13.28,1384680,,
1,CHU,2010-01-05,13.3,13.36,13.22,13.3,1602841,13.28,0.001506024096385561
2,CHU,2010-01-06,13.36,13.46,13.34,13.41,1749921,13.3,0.008270676691729317
3,CHU,2010-01-07,13.35,13.4,13.26,13.33,2113925,13.41,-0.005965697240865042
4,CHU,2010-01-08,13.13,13.13,13.0,13.04,2814310,13.33,-0.02175543885971498
5,CHU,2010-01-11,13.1,13.17,13.01,13.08,1590993,13.04,0.0030674846625766694
6,CHU,2010-01-12,13.1,13.11,12.95,12.97,1786730,13.08,-0.00840978593272168
7,CHU,2010-01-13,12.85,12.89,12.72,12.88,2993812,12.97,-0.006939090208172738
8,CHU,2010-01-14,12.99,12.99,12.88,12.88,2112081,12.88,0.0
9,CHU,2010-01-15,12.63,12.7,12.45,12.48,2819136,12.88,-0.03105590062111807
10,CHU,2010-01-19,12.1,12.13,11.91,12.06,4471691,12.48,-0.033653846153846145
11,CHU,2010-01-20,12.09,12.12,11.95,12.08,2829016,12.06,0.0016583747927030323
12,CHU,2010-01-21,12.15,12.23,11.89,12.0,3411035,12.08,-0.0066225165562914245
13,CHU,2010-01-22,11.92,11.93,11.62,11.66,2485075,12.0,-0.02833333333333332
14,CHU,2010-01-25,11.77,11.87,11.7,11.75,2627415,11.66,0.007718696397941649
15,CHU,2010-01-26,11.43,11.5,11.26,11.42,2556895,11.75,-0.028085106382978675
16,CHU,2010-01-27,11.19,11.25,10.98,11.19,4251344,11.42,-0.020140105078809145
17,CHU,2010-01-28,11.13,11.24,10.93,10.99,3398698,11.19,-0.01787310098302053
18,CHU,2010-01-29,11.23,11.31,11.09,11.2,3364276,10.99,0.019108280254777066
19,CHU,2010-02-01,11.0,11.15,10.96,11.15,2665420,11.2,-0.004464285714285587
20,CHU,2010-02-02,11.18,11.32,11.02,11.28,1879155,11.15,0.011659192825111964
21,CHU,2010-02-03,11.42,11.51,11.21,11.32,3757502,11.28,0.0035460992907803135
22,CHU,2010-02-04,11.03,11.03,10.64,10.64,3623686,11.32,-0.060070671378091856
23,CHU,2010-02-05,10.68,10.69,10.34,10.58,4528060,10.64,-0.005639097744360999
24,CHU,2010-02-08,10.76,10.76,10.595,10.63,2484910,10.58,0.004725897920605071
25,CHU,2010-02-09,10.84,11.09,10.75,10.97,6428437,10.63,0.0319849482596426
26,CHU,2010-02-10,10.99,11.03,10.81,10.98,2493821,10.97,0.0009115770282588365
27,CHU,2010-02-11,11.42,11.53,11.32,11.51,2544306,10.98,0.04826958105646617
28,CHU,2010-02-12,11.36,11.41,11.27,11.38,1405946,11.51,-0.011294526498696666
29,CHU,2010-02-16,11.47,11.56,11.36,11.51,3670711,11.38,0.011423550087873435
30,CHU,2010-02-17,11.59,11.61,11.41,11.46,2579211,11.51,-0.004344048653344812
31,CHU,2010-02-18,11.41,11.41,11.32,11.33,2577116,11.46,-0.011343804537521929
32,CHU,2010-02-19,11.06,11.07,10.96,11.04,4429716,11.33,-0.02559576345984116
33,CHU,2010-02-22,11.17,11.22,11.04,11.05,3514597,11.04,0.0009057971014494459
34,CHU,2010-02-23,11.1,11.19,10.93,11.01,2733437,11.05,-0.0036199095022625416
35,CHU,2010-02-24,11.04,11.13,11.02,11.1,1626275,11.01,0.008174386920980936
36,CHU,2010-02-25,11.05,11.26,10.96,11.25,2093723,11.1,0.013513513513513598
37,CHU,2010-02-26,11.84,12.21,11.79,12.17,5928461,11.25,0.08177777777777773
38,CHU,2010-03-01,12.56,12.67,12.51,12.6,6754679,12.17,0.03533278553820862
39,CHU,2010-03-02,12.7,12.74,12.47,12.53,5352648,12.6,-0.005555555555555536
40,CHU,2010-03-03,12.5,12.63,12.37,12.39,2238465,12.53,-0.011173184357541777
41,CHU,2010-03-04,12.49,12.58,12.4,12.49,2106747,12.39,0.008071025020177425
42,CHU,2010-03-05,12.49,12.55,12.41,12.53,2046485,12.49,0.0032025620496396456
43,CHU,2010-03-08,12.44,12.52,12.31,12.36,1362148,12.53,-0.013567438148443745
44,CHU,2010-03-09,12.27,12.38,12.18,12.26,1227169,12.36,-0.008090614886731351
45,CHU,2010-03-10,12.3,12.39,12.3,12.34,1306330,12.26,0.006525285481239873
46,CHU,2010-03-11,12.24,12.39,12.07,12.26,1629079,12.34,-0.00648298217179899
47,CHU,2010-03-12,12.21,12.24,12.1,12.17,1645007,12.26,-0.007340946166394802
48,CHU,2010-03-15,12.1,12.14,11.95,12.04,1180912,12.17,-0.010682004930156141
49,CHU,2010-03-16,11.95,12.06,11.92,12.06,1522774,12.04,0.0016611295681063787
50,CHU,2010-03-17,12.21,12.29,12.17,12.28,1658991,12.06,0.018242122719734466
51,CHU,2010-03-18,12.29,12.3,12.06,12.08,1865557,12.28,-0.01628664495113996
52,CHU,2010-03-19,12.01,12.03,11.8,11.98,1659539,12.08,-0.008278145695364225
53,CHU,2010-03-22,11.84,11.99,11.75,11.93,1548663,11.98,-0.004173622704507607
54,CHU,2010-03-23,12.06,12.21,12.0,12.17,1158167,11.93,0.02011735121542335
55,CHU,2010-03-24,11.75,11.77,11.36,11.55,3984815,12.17,-0.05094494658997528
56,CHU,2010-03-25,11.39,11.39,10.93,10.97,6637312,11.55,-0.05021645021645027
57,CHU,2010-03-26,11.13,11.2,10.97,11.13,7651753,10.97,0.014585232452142272
58,CHU,2010-03-29,11.34,11.52,11.34,11.52,2641174,11.13,0.035040431266846195
59,CHU,2010-03-30,11.39,11.47,11.17,11.2,4452504,11.52,-0.02777777777777779
60,CHU,2010-03-31,11.2,11.26,11.1,11.15,2311222,11.2,-0.004464285714285587
61,CHU,2010-04-01,11.32,11.39,11.25,11.38,1730512,11.15,0.020627802690583064
62,CHU,2010-04-05,11.32,11.41,11.04,11.19,6175841,11.38,-0.016695957820738294
63,CHU,2010-04-06,11.11,11.3,11.11,11.26,2426955,11.19,0.006255585344057124
64,CHU,2010-04-07,11.33,11.39,11.24,11.33,2549590,11.26,0.006216696269982336
65,CHU,2010-04-08,11.44,11.62,11.37,11.62,4053505,11.33,0.02559576345984116
66,CHU,2010-04-09,11.92,12.05,11.92,12.05,2755715,11.62,0.037005163511187655
67,CHU,2010-04-12,11.84,11.84,11.64,11.66,2502504,12.05,-0.032365145228215764
68,CHU,2010-04-13,11.77,11.86,11.68,11.83,1733118,11.66,0.014579759862778818
69,CHU,2010-04-14,11.79,11.84,11.68,11.81,1987248,11.83,-0.0016906170752324368
70,CHU,2010-04-15,11.52,11.55,11.47,11.47,1659894,11.81,-0.028789161727349688
71,CHU,2010-04-16,11.86,11.91,11.64,11.74,5914844,11.47,0.023539668700959027
72,CHU,2010-04-19,11.59,11.69,11.46,11.69,2437996,11.74,-0.004258943781942137
73,CHU,2010-04-20,11.98,12.08,11.97,12.06,2377396,11.69,0.031650983746792205
