,symbol,date,openPrice,highPrice,lowPrice,closePrice,volume,previousClose,changePercent
2216,CN,2014-04-30,24.9999,24.9999,24.9999,24.9999,100200,,
2217,CN,2014-05-01,25.14,25.22,25.139,25.16,2070,24.9999,0.006404025616102427
2218,CN,2014-05-02,25.15,25.15,25.15,25.15,265,25.16,-0.0003974562798092496
2219,CN,2014-05-05,25.0,25.0,24.94,24.94,800,25.15,-0.008349900596421378
2220,CN,2014-05-06,25.14,25.14,25.14,25.14,1036,24.94,0.00801924619085792
2221,CN,2014-05-07,25.03,25.03,24.75,24.85,4489,25.14,-0.011535401750198848
2222,CN,2014-05-08,25.0,25.0,24.81,24.84,2972,24.85,-0.0004024144869215762
2223,CN,2014-05-09,24.8,24.81,24.74,24.79,2610,24.84,-0.0020128824476650653
2224,CN,2014-05-12,24.92,25.12,24.75,25.08,51099,24.79,0.011698265429608723
2225,CN,2014-05-13,25.23,25.23,25.05,25.104,6318,25.08,0.000956937799043045
2226,CN,2014-05-14,25.67,25.67,25.19,25.2,53570,25.104,0.003824091778202643
2227,CN,2014-05-15,25.1,25.1,24.8801,24.96,10951,25.2,-0.00952380952380949
2228,CN,2014-05-16,25.06,25.25,25.06,25.25,1298,24.96,0.011618589743589647
2229,CN,2014-05-19,25.12,25.12,24.992,25.0099,392,25.25,-0.009508910891089184
2230,CN,2014-05-20,24.93,24.93,24.93,24.93,100,25.0099,-0.0031947348849854507
2231,CN,2014-05-21,25.22,25.22,25.22,25.22,102,24.93,0.011632571199358122
2232,CN,2014-05-22,25.52,25.52,25.33,25.3804,2549,25.22,0.006360031720856529
2233,CN,2014-05-23,25.5199,25.5199,25.5199,25.5199,200,25.3804,0.005496367275535485
2234,CN,2014-05-27,25.71,25.71,25.28,25.32,6128,25.5199,-0.007833102794289948
2235,CN,2014-05-28,25.65,25.65,25.46,25.46,5680,25.32,0.005529225908372792
2236,CN,2014-05-29,25.51,25.52,25.43,25.43,5100,25.46,-0.0011783189316575404
2237,CN,2014-05-30,25.72,25.72,25.43,25.47,6689,25.43,0.001572945340149401
2238,CN,2014-06-02,25.69,25.6999,25.66,25.69,2000,25.47,0.00863761287789555
2239,CN,2014-06-03,25.55,25.64,25.53,25.59,5928,25.69,-0.003892565200467213
2240,CN,2014-06-04,25.46,25.46,25.11,25.33,5502,25.59,-0.010160218835482682
2241,CN,2014-06-05,25.575,25.67,25.57,25.57,6350,25.33,0.009474930911962165
2242,CN,2014-06-06,25.57,25.57,25.57,25.57,0,25.57,0.0
2243,CN,2014-06-09,25.67,25.678,25.67,25.678,502,25.57,0.004223699648025159
2244,CN,2014-06-10,25.88,25.96,25.88,25.9586,1477,25.678,0.010927642339745969
2245,CN,2014-06-11,25.9586,25.9586,25.9586,25.9586,0,25.9586,0.0
2246,CN,2014-06-12,25.82,25.82,25.75,25.75,816,25.9586,-0.008035872504680519
2247,CN,2014-06-13,26.08,26.09,26.03,26.07,5027,25.75,0.012427184466019536
2248,CN,2014-06-16,26.11,26.11,26.03,26.05,5230,26.07,-0.0007671653241273502
2249,CN,2014-06-17,26.0,26.0299,26.0,26.0299,777,26.05,-0.0007715930902111312
2250,CN,2014-06-18,25.9276,26.12,25.9,26.12,1842,26.0299,0.003461404000783652
2251,CN,2014-06-19,25.75,25.7681,25.712,25.712,610,26.12,-0.01562021439509964
2252,CN,2014-06-20,25.78,25.78,25.76,25.76,662,25.712,0.0018668326073429942
2253,CN,2014-06-23,25.61,25.65,25.61,25.65,4990,25.76,-0.0042701863354038805
2254,CN,2014-06-24,25.7701,25.88,25.75,25.8,3740,25.65,0.005847953216374435
2255,CN,2014-06-25,25.76,25.76,25.76,25.76,100,25.8,-0.0015503875968991832
2256,CN,2014-06-26,26.09,26.09,25.99,26.0299,2100,25.76,0.010477484472049658
2257,CN,2014-06-27,26.05,26.05,26.05,26.05,162,26.0299,0.0007721889058351916
2258,CN,2014-06-30,26.23,26.24,26.22,26.22,2300,26.05,0.006525911708253229
2259,CN,2014-07-01,26.34,26.41,26.34,26.41,2500,26.22,0.007246376811594235
2260,CN,2014-07-02,26.5712,26.5712,26.5668,26.5668,600,26.41,0.0059371450208254295
2261,CN,2014-07-03,26.67,26.68,26.67,26.68,2800,26.5668,0.004260957285032507
2262,CN,2014-07-07,26.6599,26.6599,26.6599,26.6599,560,26.68,-0.0007533733133433529
2263,CN,2014-07-08,26.59,26.59,26.5499,26.5499,1844,26.6599,-0.004126046984422316
2264,CN,2014-07-09,26.31,26.4,26.31,26.39,1323,26.5499,-0.0060226215541301364
2265,CN,2014-07-10,26.19,26.19,26.16,26.18,1120,26.39,-0.007957559681697646
2266,CN,2014-07-11,26.31,26.44,26.3099,26.414,1991,26.18,0.008938120702826735
2267,CN,2014-07-14,26.74,26.74,26.7199,26.7199,1195,26.414,0.011580979783448075
