,symbol,date,openPrice,highPrice,lowPrice,closePrice,volume,previousClose,changePercent
16641,NOV,2010-01-04,44.91,46.1399,44.9,46.09,5385900,,
16642,NOV,2010-01-05,46.29,47.26,46.09,46.89,4680500,46.09,0.01735734432631797
16643,NOV,2010-01-06,46.83,47.7,46.11,47.56,5213600,46.89,0.014288760929835886
16644,NOV,2010-01-07,47.3,47.5,46.7,47.1,4111600,47.56,-0.009671993271656909
16645,NOV,2010-01-08,46.73,47.89,46.6,47.11,6855900,47.1,0.0002123142250529675
16646,NOV,2010-01-11,47.6,47.7,46.19,46.65,5479600,47.11,-0.00976438123540646
16647,NOV,2010-01-12,46.19,46.6,45.5,46.36,5615300,46.65,-0.006216505894962476
16648,NOV,2010-01-13,46.5,46.83,45.5,46.35,5629200,46.36,-0.0002157031924071573
16649,NOV,2010-01-14,46.26,47.23,46.16,46.96,4252200,46.35,0.013160733549083092
16650,NOV,2010-01-15,46.95,47.24,45.78,46.24,4960100,46.96,-0.015332197614991494
16651,NOV,2010-01-19,46.1,47.17,46.0,47.08,4368600,46.24,0.018166089965397925
16652,NOV,2010-01-20,46.39,46.39,45.46,45.93,4885100,47.08,-0.024426508071367814
16653,NOV,2010-01-21,46.02,46.43,44.17,44.39,6846200,45.93,-0.033529283692575684
16654,NOV,2010-01-22,44.14,44.25,42.4,42.53,7319800,44.39,-0.04190132912818201
16655,NOV,2010-01-25,42.89,43.59,42.52,43.1,5419100,42.53,0.013402304255819342
16656,NOV,2010-01-26,42.63,43.7,42.1,42.67,5052800,43.1,-0.00997679814385155
16657,NOV,2010-01-27,42.49,43.03,41.66,42.92,6435300,42.67,0.005858917272088204
16658,NOV,2010-01-28,43.32,43.49,41.26,41.49,8969300,42.92,-0.03331780055917988
16659,NOV,2010-01-29,42.08,43.44,40.71,40.9,10605600,41.49,-0.014220294046758286
16660,NOV,2010-02-01,41.39,42.13,41.12,42.09,6463300,40.9,0.029095354523227535
16661,NOV,2010-02-02,42.53,42.8767,42.0,42.65,5514900,42.09,0.013304822998336796
16662,NOV,2010-02-03,43.5,44.91,43.1001,43.97,9895500,42.65,0.03094958968347017
16663,NOV,2010-02-04,44.08,44.38,42.48,42.54,8707600,43.97,-0.03252217420968839
16664,NOV,2010-02-05,42.55,43.27,41.02,42.3,8604100,42.54,-0.005641748942172176
16665,NOV,2010-02-08,42.29,42.629,41.5,41.53,6766200,42.3,-0.018203309692671255
16666,NOV,2010-02-09,42.25,43.58,42.18,42.68,8487000,41.53,0.02769082590898142
16667,NOV,2010-02-10,42.66,43.01,41.56,42.55,6103700,42.68,-0.003045923149015972
16668,NOV,2010-02-11,42.63,43.45,42.15,43.41,6481200,42.55,0.020211515863689744
16669,NOV,2010-02-12,42.46,43.41,42.26,43.36,6449100,43.41,-0.0011518083390923417
16670,NOV,2010-02-16,44.16,44.26,43.67,44.07,5782400,43.36,0.016374538745387524
16671,NOV,2010-02-17,44.21,44.6,44.0,44.33,5664700,44.07,0.005899705014749124
16672,NOV,2010-02-18,44.22,44.85,43.915,44.72,4898200,44.33,0.008797653958944274
16673,NOV,2010-02-19,44.64,45.15,44.1,45.11,6513400,44.72,0.008720930232558155
16674,NOV,2010-02-22,45.84,45.95,44.03,44.4,6535100,45.11,-0.01573930392374201
16675,NOV,2010-02-23,44.07,44.41,42.93,43.13,6006900,44.4,-0.028603603603603478
16676,NOV,2010-02-24,43.16,43.8,43.07,43.49,5675300,43.13,0.008346858335265495
16677,NOV,2010-02-25,42.6,43.25,41.95,43.17,6541400,43.49,-0.007358013336399183
16678,NOV,2010-02-26,43.38,43.55,42.86,43.47,4310000,43.17,0.006949270326615631
16679,NOV,2010-03-01,43.68,43.86,43.34,43.66,4748700,43.47,0.004370830457786967
16680,NOV,2010-03-02,43.82,44.61,43.72,44.03,5287000,43.66,0.00847457627118664
16681,NOV,2010-03-03,44.24,44.7,44.16,44.34,4916500,44.03,0.007040654099477628
16682,NOV,2010-03-04,44.34,44.58,42.97,43.15,6200100,44.34,-0.026838069463238745
16683,NOV,2010-03-05,43.82,43.82,43.08,43.66,7042200,43.15,0.011819235225955849
16684,NOV,2010-03-08,43.7,43.99,43.18,43.63,3821900,43.66,-0.0006871278057717367
16685,NOV,2010-03-09,43.63,43.63,43.63,43.63,3779300,43.63,0.0
16686,NOV,2010-03-10,43.36,44.04,42.95,43.71,3704600,43.63,0.0018336007334402993
16687,NOV,2010-03-11,43.5,43.99,43.25,43.89,3099000,43.71,0.0041180507892930596
16688,NOV,2010-03-12,44.13,44.39,43.79,43.94,2629200,43.89,0.0011392116655273288
16689,NOV,2010-03-15,43.78,43.96,42.86,43.26,3001000,43.94,-0.015475648611743331
16690,NOV,2010-03-16,43.52,44.15,43.18,44.1,3338200,43.26,0.01941747572815533
16691,NOV,2010-03-17,44.29,45.2,44.21,44.66,4321300,44.1,0.012698412698412653
16692,NOV,2010-03-18,44.49,44.965,43.415,43.72,4241800,44.66,-0.02104791759964164
16693,NOV,2010-03-19,43.77,43.77,42.04,42.46,7436100,43.72,-0.02881976212259829
16694,NOV,2010-03-22,42.08,42.71,41.6,42.32,4790300,42.46,-0.0032972209138012465
16695,NOV,2010-03-23,42.54,42.94,42.16,42.48,5048400,42.32,0.003780718336483746
16696,NOV,2010-03-24,42.1,42.74,42.03,42.25,4630600,42.48,-0.0054143126177024214
16697,NOV,2010-03-25,42.53,42.77,40.78,40.9,5850400,42.25,-0.031952662721893565
16698,NOV,2010-03-26,40.91,41.2,39.4,39.92,9840000,40.9,-0.023960880195598944
16699,NOV,2010-03-29,40.24,40.85,40.18,40.6,6036600,39.92,0.017034068136272618
16700,NOV,2010-03-30,40.7,40.76,40.25,40.46,5947900,40.6,-0.0034482758620689724
16701,NOV,2010-03-31,40.82,40.98,40.4,40.58,7160300,40.46,0.002965892239248591
16702,NOV,2010-04-01,41.0,41.67,40.77,41.62,6334900,40.58,0.025628388368654553
16703,NOV,2010-04-05,42.12,42.94,41.63,42.61,4928700,41.62,0.023786641037962575
16704,NOV,2010-04-06,42.53,43.26,42.31,43.22,5181900,42.61,0.014315888289133882
16705,NOV,2010-04-07,43.22,43.22,42.47,42.94,8028500,43.22,-0.006478482184174017
16706,NOV,2010-04-08,42.45,42.45,41.66,42.43,6487400,42.94,-0.011877037727060946
16707,NOV,2010-04-09,42.63,42.94,42.19,42.93,4112300,42.43,0.011784115012962504
16708,NOV,2010-04-12,43.01,43.46,42.76,42.89,4176200,42.93,-0.000931749359422307
16709,NOV,2010-04-13,42.7,42.7,41.44,41.89,7081600,42.89,-0.023315458148752577
16710,NOV,2010-04-14,42.21,42.88,41.76,42.25,7903600,41.89,0.008593936500358001
16711,NOV,2010-04-15,42.08,42.97,42.03,42.88,6626900,42.25,0.014911242603550257
16712,NOV,2010-04-16,42.47,43.3,41.94,42.48,9709400,42.88,-0.00932835820895539
16713,NOV,2010-04-19,42.16,42.62,41.85,42.54,5779100,42.48,0.0014124293785311437
16714,NOV,2010-04-20,42.94,44.53,42.75,44.04,5586700,42.54,0.035260930888575404
16715,NOV,2010-04-21,44.06,44.94,44.02,44.45,6865000,44.04,0.009309718437783943
16716,NOV,2010-04-22,43.88,44.71,43.445,44.6,4862300,44.45,0.003374578177727683
16717,NOV,2010-04-23,44.83,46.4,44.81,46.26,8112100,44.6,0.037219730941703943
16718,NOV,2010-04-26,46.48,46.75,45.94,46.45,8144600,46.26,0.004107220060527661
16719,NOV,2010-04-27,46.8,46.87,43.26,43.38,13170400,46.45,-0.06609257265877289
16720,NOV,2010-04-28,43.73,44.4,43.3,44.32,8778600,43.38,0.02166897187644068
16721,NOV,2010-04-29,44.76,45.24,43.87,44.76,8367000,44.32,0.009927797833934937
16722,NOV,2010-04-30,44.92,45.09,43.13,44.03,11209900,44.76,-0.016309204647006137
16723,NOV,2010-05-03,43.71,44.98,43.51,44.51,7467600,44.03,0.010901657960481481
16724,NOV,2010-05-04,43.9,44.08,42.96,43.47,6701200,44.51,-0.023365535834643847
16725,NOV,2010-05-05,42.73,44.1,42.39,42.82,7523900,43.47,-0.014952841039797549
16726,NOV,2010-05-06,42.47,43.4,37.54,41.02,10218200,42.82,-0.04203643157403081
16727,NOV,2010-05-07,40.75,40.99,38.78,39.11,11171800,41.02,-0.04656265236470025
16728,NOV,2010-05-10,41.01,41.71,40.71,41.35,10034100,39.11,0.05727435438506778
16729,NOV,2010-05-11,40.84,41.75,40.45,40.56,10906800,41.35,-0.019105199516324056
16730,NOV,2010-05-12,40.84,41.23,40.33,41.09,4979100,40.56,0.01306706114398426
16731,NOV,2010-05-13,40.95,41.43,40.18,40.64,6029100,41.09,-0.010951569724994004
16732,NOV,2010-05-14,40.16,40.23,39.11,39.91,7478100,40.64,-0.017962598425196985
16733,NOV,2010-05-17,40.28,40.49,38.33,39.16,6430600,39.91,-0.0187922826359308
16734,NOV,2010-05-18,39.86,40.48,38.39,38.62,5927200,39.16,-0.013789581205311485
16735,NOV,2010-05-19,38.41,38.51,36.873,37.56,7905000,38.62,-0.02744691869497662
16736,NOV,2010-05-20,36.5,36.55,35.25,35.39,10428700,37.56,-0.05777422790202347
16737,NOV,2010-05-21,34.75,37.18,34.65,36.89,9422500,35.39,0.042384854478666245
16738,NOV,2010-05-24,36.84,36.98,36.07,36.07,8995500,36.89,-0.022228246137164565
16739,NOV,2010-05-25,34.99,36.92,34.51,36.82,9136500,36.07,0.02079290268921552
16740,NOV,2010-05-26,37.33,38.82,36.84,38.05,11116800,36.82,0.033405757740358366
16741,NOV,2010-05-27,39.13,40.33,38.99,40.07,9879400,38.05,0.05308804204993445
16742,NOV,2010-05-28,39.89,39.9,37.69,38.13,10637600,40.07,-0.048415273271774306
16743,NOV,2010-06-01,36.98,37.21,33.87,33.9,19001300,38.13,-0.11093627065302925
16744,NOV,2010-06-02,33.89,35.43,33.5,35.36,12102000,33.9,0.04306784660766971
16745,NOV,2010-06-03,35.78,35.95,34.7321,35.67,8440900,35.36,0.008766968325791824
16746,NOV,2010-06-04,34.5,36.24,34.44,34.66,6856100,35.67,-0.02831511073731441
16747,NOV,2010-06-07,35.56,36.14,34.93,35.0,8668700,34.66,0.00980957876514732
16748,NOV,2010-06-08,35.0,35.52,34.31,35.4,8350400,35.0,0.011428571428571344
16749,NOV,2010-06-09,35.8,37.23,34.89,35.15,10206800,35.4,-0.007062146892655385
16750,NOV,2010-06-10,36.11,37.5,36.1,37.42,5957300,35.15,0.06458036984352789
16751,NOV,2010-06-11,36.87,37.71,36.45,37.53,5135000,37.42,0.0029396044895777518
16752,NOV,2010-06-14,38.07,38.37,36.7175,36.85,7323800,37.53,-0.01811883826272309
16753,NOV,2010-06-15,37.03,38.81,37.03,38.78,4801500,36.85,0.052374491180461336
16754,NOV,2010-06-16,38.25,38.91,37.94,38.24,5817400,38.78,-0.01392470345538932
16755,NOV,2010-06-17,38.35,38.44,37.18,37.66,6130000,38.24,-0.015167364016736573
16756,NOV,2010-06-18,37.63,38.15,37.11,38.1,6407200,37.66,0.011683483802443106
16757,NOV,2010-06-21,38.54,38.81,37.02,37.34,7381800,38.1,-0.019947506561679762
16758,NOV,2010-06-22,36.95,37.25,35.615,35.86,10251400,37.34,-0.039635779325120635
16759,NOV,2010-06-23,35.96,35.96,34.95,35.75,8247300,35.86,-0.0030674846625766694
16760,NOV,2010-06-24,35.53,36.2,35.27,35.38,9319800,35.75,-0.010349650349650297
16761,NOV,2010-06-25,35.62,36.04,35.0,35.3,10369700,35.38,-0.002261164499717472
16762,NOV,2010-06-28,35.52,35.63,34.68,34.69,7156000,35.3,-0.017280453257790374
16763,NOV,2010-06-29,34.14,34.18,32.7475,33.02,9315300,34.69,-0.04814067454597848
16764,NOV,2010-06-30,33.19,33.63,32.76,33.07,10564600,33.02,0.0015142337976983278
16765,NOV,2010-07-01,32.91,33.57,32.18,33.24,8653500,33.07,0.005140610825521641
16766,NOV,2010-07-02,33.36,33.99,32.93,33.35,4299100,33.24,0.003309265944644979
16767,NOV,2010-07-06,33.84,34.48,33.26,33.75,5864500,33.35,0.011994002998500619
16768,NOV,2010-07-07,33.84,35.17,33.76,35.16,6563500,33.75,0.04177777777777769
16769,NOV,2010-07-08,35.54,35.79,34.875,35.63,5014300,35.16,0.013367463026166204
16770,NOV,2010-07-09,35.64,35.96,35.27,35.51,4998000,35.63,-0.003367948358125261
16771,NOV,2010-07-12,35.34,35.86,34.99,35.57,4567700,35.51,0.001689664883131492
16772,NOV,2010-07-13,36.11,36.52,35.77,35.91,4232700,35.57,0.009558616811920162
16773,NOV,2010-07-14,35.62,36.27,35.38,35.88,4434000,35.91,-0.0008354218880533004
