,symbol,date,openPrice,closePrice,highPrice,lowPrice,adjClosePrice,previousClose,changePercent
8056,UAL,2018-01-03,68.94,68.49,69.37,67.82,68.49,68.94,-0.006527415143603221
8057,UAL,2018-01-04,68.69,69.26,69.3652,67.64,69.26,68.49,0.011242517155789278
8058,UAL,2018-01-05,69.4,69.36,69.4,68.77,69.36,69.26,0.0014438348252958644
8059,UAL,2018-01-08,69.37,68.51,69.37,68.01,68.51,69.36,-0.01225490196078427
8060,UAL,2018-01-09,68.5,68.48,69.76,68.39,68.48,68.51,-0.00043789227849955203
8061,UAL,2018-01-10,70.98,73.08,73.151,70.45,73.08,68.48,0.06717289719626152
8062,UAL,2018-01-11,73.615,76.45,77.09,73.25,76.45,73.08,0.04611384783798589
8063,UAL,2018-01-12,76.74,78.4,78.84,76.48,78.4,76.45,0.02550686723348594
8064,UAL,2018-01-16,78.35,77.49,79.0,76.8,77.49,78.4,-0.011607142857143038
8065,UAL,2018-01-17,77.53,76.58,77.61,76.48,76.58,77.49,-0.011743450767841002
8066,UAL,2018-01-18,76.6,76.3,77.1,75.991,76.3,76.58,-0.003656307129798919
8067,UAL,2018-01-19,76.82,76.5,76.84,75.8,76.5,76.3,0.002621231979030192
8068,UAL,2018-01-22,76.6,76.87,76.88,75.5,76.87,76.5,0.0048366013071896585
8069,UAL,2018-01-23,77.1,77.97,78.21,76.4,77.97,76.87,0.014309873812930807
8070,UAL,2018-01-24,71.43,69.05,72.0,68.07,69.05,77.97,-0.11440297550339873
8071,UAL,2018-01-25,69.355,66.08,69.4,65.8,66.08,69.05,-0.04301230992034755
8072,UAL,2018-01-26,66.33,66.56,66.77,65.44,66.56,66.08,0.007263922518159882
8073,UAL,2018-01-29,66.22,65.78,66.75,65.46,65.78,66.56,-0.01171875
8074,UAL,2018-01-30,66.26,67.01,67.52,65.78,67.01,65.78,0.018698692611736067
8075,UAL,2018-01-31,67.74,67.82,69.09,67.32,67.82,67.01,0.012087748097298734
8076,UAL,2018-02-01,67.22,67.15,67.95,66.23,67.15,67.82,-0.009879091713358656
8077,UAL,2018-02-02,66.63,65.68,66.89,65.48,65.68,67.15,-0.021891288160833966
8078,UAL,2018-02-05,65.0,63.4,65.44,63.2811,63.4,65.68,-0.03471376370280155
8079,UAL,2018-02-06,62.16,63.95,64.22,61.96,63.95,63.4,0.00867507886435348
8080,UAL,2018-02-07,63.84,65.36,66.5783,63.75,65.36,63.95,0.02204847537138388
8081,UAL,2018-02-08,65.17,63.37,65.67,63.33,63.37,65.36,-0.03044675642594863
8082,UAL,2018-02-09,64.24,62.98,64.52,60.44,62.98,63.37,-0.006154331702698412
8083,UAL,2018-02-12,63.33,64.14,64.83,62.97,64.14,62.98,0.018418545570022316
8084,UAL,2018-02-13,63.83,65.7,65.75,63.66,65.7,64.14,0.024321796071094415
8085,UAL,2018-02-14,65.4,65.68,66.32,65.16,65.68,65.7,-0.0003044140030440401
8086,UAL,2018-02-15,66.0,66.74,66.755,65.64,66.74,65.68,0.01613885505481094
8087,UAL,2018-02-16,67.05,66.52,67.51,66.51,66.52,66.74,-0.0032963739886124888
8088,UAL,2018-02-20,66.1,66.59,66.72,65.78,66.59,66.52,0.0010523150932051362
8089,UAL,2018-02-21,66.39,67.0,68.52,66.36,67.0,66.59,0.006157080642739121
8090,UAL,2018-02-22,67.5,66.7,67.7272,66.45,66.7,67.0,-0.004477611940298498
8091,UAL,2018-02-23,67.01,67.57,67.6801,66.74,67.57,66.7,0.01304347826086949
8092,UAL,2018-02-26,68.26,69.26,69.48,68.25,69.26,67.57,0.025011099600414477
8093,UAL,2018-02-27,69.0,67.86,69.4,67.79,67.86,69.26,-0.020213687554143878
