,symbol,date,openPrice,closePrice,highPrice,lowPrice,adjClosePrice,previousClose,changePercent
8268,UGA,2018-01-03,31.73,32.04,32.11,31.71,32.04,31.4,0.020382165605095537
8269,UGA,2018-01-04,31.91,32.17,32.2,31.69,32.17,32.04,0.004057428214731651
8270,UGA,2018-01-05,31.93,31.93,32.1117,31.7978,31.93,32.17,-0.007460366801367746
8271,UGA,2018-01-08,31.84,32.07,32.07,31.81,32.07,31.93,0.004384591293454365
8272,UGA,2018-01-09,32.3,32.7,32.9199,32.25,32.7,32.07,0.019644527595884087
8273,UGA,2018-01-10,32.76,32.72,32.76,32.49,32.72,32.7,0.0006116207951070152
8274,UGA,2018-01-11,32.7,32.73,33.135,32.6976,32.73,32.72,0.00030562347188256567
8275,UGA,2018-01-12,32.65,32.9201,33.0,32.5498,32.9201,32.73,0.005808127100519478
8276,UGA,2018-01-16,32.92,32.8,33.11,32.78,32.8,32.9201,-0.0036482270709992104
8277,UGA,2018-01-17,32.97,33.16,33.25,32.915,33.16,32.8,0.01097560975609757
8278,UGA,2018-01-18,33.14,33.42,33.75,33.1,33.42,33.16,0.007840772014475528
8279,UGA,2018-01-19,33.15,33.11,33.25,33.0,33.11,33.42,-0.009275882704967153
8280,UGA,2018-01-22,33.12,33.44,33.4559,33.05,33.44,33.11,0.009966777408637828
8281,UGA,2018-01-23,33.67,33.9,33.95,33.57,33.9,33.44,0.013755980861243966
8282,UGA,2018-01-24,33.73,34.07,34.13,33.46,34.07,33.9,0.005014749262536977
8283,UGA,2018-01-25,33.96,33.71,34.19,33.66,33.71,34.07,-0.010566480774875209
8284,UGA,2018-01-26,33.75,34.14,34.3294,33.72,34.14,33.71,0.012755858795609587
8285,UGA,2018-01-29,34.14,33.905,34.14,33.78,33.905,34.14,-0.006883421206795526
8286,UGA,2018-01-30,33.56,33.08,33.56,33.0487,33.08,33.905,-0.02433269429287721
8287,UGA,2018-01-31,32.87,33.62,33.62,32.83,33.62,33.08,0.016324062877871803
8288,UGA,2018-02-01,33.73,33.7301,33.8,33.32,33.7301,33.62,0.0032748364069006275
8289,UGA,2018-02-02,33.15,33.27,33.27,32.75,33.27,33.7301,-0.013640635515459354
8290,UGA,2018-02-05,32.95,32.56,33.29,32.54,32.56,33.27,-0.021340547039374824
8291,UGA,2018-02-06,32.13,32.04,33.4399,31.9,32.04,32.56,-0.01597051597051602
8292,UGA,2018-02-07,32.24,31.34,32.47,31.15,31.34,32.04,-0.021847690387016172
8293,UGA,2018-02-08,31.42,30.98,31.43,30.92,30.98,31.34,-0.01148691767708998
8294,UGA,2018-02-09,30.72,30.26,30.72,29.64,30.26,30.98,-0.023240800516462157
8295,UGA,2018-02-12,30.21,29.75,30.42,29.73,29.75,30.26,-0.016853932584269704
8296,UGA,2018-02-13,29.44,29.92,30.0436,29.3672,29.92,29.75,0.005714285714285783
8297,UGA,2018-02-14,29.5,30.44,30.56,29.4509,30.44,29.92,0.017379679144384985
8298,UGA,2018-02-15,30.35,30.75,30.78,30.15,30.75,30.44,0.01018396846254932
8299,UGA,2018-02-16,30.7,30.9701,31.0,30.62,30.9701,30.75,0.007157723577235764
8300,UGA,2018-02-20,31.17,30.96,31.28,30.95,30.96,30.9701,-0.00032612100057793914
8301,UGA,2018-02-21,30.88,31.01,31.1216,30.88,31.01,30.96,0.001614987080103436
8302,UGA,2018-02-22,31.18,31.43,31.52,30.98,31.43,31.01,0.013544018058690765
8303,UGA,2018-02-23,31.43,31.92,31.95,31.43,31.92,31.43,0.015590200445434466
8304,UGA,2018-02-26,31.87,32.145,32.2398,31.72,32.145,31.92,0.007048872180451138
8305,UGA,2018-02-27,32.14,31.82,32.14,31.7701,31.82,32.145,-0.010110437081972345
8306,UGA,2018-02-28,31.7198,30.89,31.72,30.82,30.89,31.82,-0.02922690131992456
8307,UGA,2018-03-01,30.52,30.4354,30.55,30.11,30.4354,30.89,-0.01471673680802843
8308,UGA,2018-03-02,29.97,30.58,30.58,29.8,30.58,30.4354,0.004751046478771226
8309,UGA,2018-03-05,30.26,31.05,31.06,30.26,31.05,30.58,0.015369522563767335
8310,UGA,2018-03-06,30.99,30.96,31.08,30.82,30.96,31.05,-0.0028985507246376274
8311,UGA,2018-03-07,31.12,30.81,31.14,30.561,30.81,30.96,-0.004844961240310197
8312,UGA,2018-03-08,30.34,30.11,30.34,29.99,30.11,30.81,-0.0227198961376176
8313,UGA,2018-03-09,30.39,30.43,30.7,30.33,30.43,30.11,0.010627698439056754
8314,UGA,2018-03-12,30.4,30.42,30.44,30.147,30.42,30.43,-0.00032862306933945096
8315,UGA,2018-03-13,30.2,30.175,30.54,29.83,30.175,30.42,-0.008053911900065769
8316,UGA,2018-03-14,30.4,30.84,31.12,30.3648,30.84,30.175,0.022038111019055506
8317,UGA,2018-03-15,30.9,30.82,31.02,30.76,30.82,30.84,-0.0006485084306095956
8318,UGA,2018-03-16,30.79,31.2,31.28,30.66,31.2,30.82,0.012329656067488592
8319,UGA,2018-03-19,31.26,30.96,31.26,30.885,30.96,31.2,-0.007692307692307665
8320,UGA,2018-03-20,31.44,31.54,31.73,31.371,31.54,30.96,0.018733850129198926
8321,UGA,2018-03-21,31.87,32.28,32.409,30.59,32.28,31.54,0.023462270133164376
8322,UGA,2018-03-22,31.99,32.19,32.3,31.94,32.19,32.28,-0.0027881040892194786
8323,UGA,2018-03-23,32.49,32.569,32.69,32.34,32.569,32.19,0.01177384280832583
8324,UGA,2018-03-26,32.49,32.2,32.49,32.17,32.2,32.569,-0.01132979213362395
8325,UGA,2018-03-27,32.19,32.06,32.39,32.021,32.06,32.2,-0.004347826086956497
8326,UGA,2018-03-28,32.22,32.3098,32.4,32.1,32.3098,32.06,0.007791640673736833
8327,UGA,2018-03-29,32.18,32.3,32.51,32.18,32.3,32.3098,-0.0003033135457355396
8328,UGA,2018-04-02,31.99,31.45,31.99,31.4,31.45,32.3,-0.02631578947368418
8329,UGA,2018-04-03,31.58,31.55,31.88,31.52,31.55,31.45,0.0031796502384737746
8330,UGA,2018-04-04,31.01,31.475,31.55,30.9868,31.475,31.55,-0.002377179080824021
8331,UGA,2018-04-05,31.54,31.56,31.74,31.52,31.56,31.475,0.002700555996822729
8332,UGA,2018-04-06,31.61,31.09,31.61,30.94,31.09,31.56,-0.01489226869455007
8333,UGA,2018-04-09,31.44,31.6844,31.69,31.44,31.6844,31.09,0.019118687680926394
8334,UGA,2018-04-10,32.17,32.59,32.65,32.14,32.59,31.6844,0.028581888879069872
8335,UGA,2018-04-11,32.59,32.92,33.05,32.545,32.92,32.59,0.010125805461798087
8336,UGA,2018-04-12,32.73,32.8154,32.87,32.61,32.8154,32.92,-0.0031773997569868317
8337,UGA,2018-04-13,32.72,32.93,32.999,32.6828,32.93,32.8154,0.003492262779061228
8338,UGA,2018-04-16,32.78,32.641,32.78,32.5176,32.641,32.93,-0.008776191922259424
8339,UGA,2018-04-17,32.4,32.5948,32.66,32.4,32.5948,32.641,-0.001415397812566943
8340,UGA,2018-04-18,32.9421,33.13,33.13,32.72,33.13,32.5948,0.016419797022838134
8341,UGA,2018-04-19,33.3,33.12,33.4,33.04,33.12,33.13,-0.0003018412315123342
8342,UGA,2018-04-20,33.0,33.36,33.449,32.98,33.36,33.12,0.007246376811594235
8343,UGA,2018-04-23,33.25,34.0425,34.0742,33.23,34.0425,33.36,0.020458633093525025
8344,UGA,2018-04-24,33.96,33.4,33.98,33.4,33.4,34.0425,-0.018873466989792087
8345,UGA,2018-04-25,33.44,33.38,33.44,33.1,33.38,33.4,-0.0005988023952094856
8346,UGA,2018-04-26,33.44,33.75,33.79,33.44,33.75,33.38,0.011084481725584183
8347,UGA,2018-04-27,33.78,33.82,33.9,33.7641,33.82,33.75,0.002074074074074117
8348,UGA,2018-04-30,33.59,33.9,34.29,33.58,33.9,33.82,0.0023654642223536193
8349,UGA,2018-05-01,33.54,33.3,33.54,33.0532,33.3,33.9,-0.017699115044247815
8350,UGA,2018-05-02,32.97,33.05,33.21,32.85,33.05,33.3,-0.007507507507507505
8351,UGA,2018-05-03,32.75,33.369,33.369,32.74,33.369,33.05,0.009652042360060564
8352,UGA,2018-05-04,33.31,33.7,33.74,33.31,33.7,33.369,0.00991938625670552
8353,UGA,2018-05-07,33.95,33.7501,34.0883,33.6547,33.7501,33.7,0.001486646884272913
8354,UGA,2018-05-08,33.96,33.87,34.0274,33.11,33.87,33.7501,0.003552582066423282
8355,UGA,2018-05-09,34.21,34.62,34.62,34.21,34.62,33.87,0.02214348981399472
8356,UGA,2018-05-10,34.6,34.91,34.99,34.41,34.91,34.62,0.00837666088965916
8357,UGA,2018-05-11,34.96,34.7822,35.0,34.72,34.7822,34.91,-0.00366084216556839
8358,UGA,2018-05-14,34.92,35.16,35.22,34.9154,35.16,34.7822,0.010861877627061922
8359,UGA,2018-05-15,35.05,35.155,35.42,34.901,35.155,35.16,-0.00014220705346967843
8360,UGA,2018-05-16,35.14,35.92,35.92,35.0,35.92,35.155,0.02176077371639873
8361,UGA,2018-05-17,36.0,35.8322,36.29,35.76,35.8322,35.92,-0.0024443207126949584
8362,UGA,2018-05-18,36.03,35.6,36.065,35.578,35.6,35.8322,-0.006480204955319535
8363,UGA,2018-05-21,35.6667,36.0275,36.0422,35.58,36.0275,35.6,0.012008426966292118
8364,UGA,2018-05-22,36.13,36.03,36.45,36.03,36.03,36.0275,6.939143709661089e-05
8365,UGA,2018-05-23,35.94,35.93,36.049,35.43,35.93,36.03,-0.0027754648903691725
8366,UGA,2018-05-24,35.63,35.58,35.82,35.56,35.58,35.93,-0.009741163373225725
8367,UGA,2018-05-25,34.95,34.6,34.97,34.58,34.6,35.58,-0.027543563799887538
8368,UGA,2018-05-29,34.41,34.16,34.4334,33.92,34.16,34.6,-0.012716763005780507
8369,UGA,2018-05-30,34.44,34.93,34.93,34.44,34.93,34.16,0.02254098360655754
8370,UGA,2018-05-31,34.95,34.53,35.1,34.23,34.53,34.93,-0.011451474377326076
8371,UGA,2018-06-01,34.21,34.14,34.3712,34.011,34.14,34.53,-0.011294526498696777
8372,UGA,2018-06-04,34.05,33.9086,34.05,33.75,33.9086,34.14,-0.006777973052138231
8373,UGA,2018-06-05,33.555,33.59,33.75,33.441,33.59,33.9086,-0.009395846481423442
